gem_id,name,name_other,country,lat,lon,status,kind,wkt
100000321545,"Dew (C.V. Consolidated) - Diversified Production Oil and Gas Asset (Texas, United States)",,united states,31.5538,-96.1576,,GOGET,
100000302317,"Edén Jolote Oil and Gas Field (Tabasco, Mexico)",['Eden-Jolote'],mexico,18.01,-93.316,,GOGET,"MULTIPOLYGON (((-93.3823294669313 18.0758849238502,-93.3762268914579 18.0658725071105,-93.3678969722674 18.0555477980924,-93.3569023366734 18.0427566183233,-93.3440566130222 18.0369116743343,-93.3234470457445 18.0306201333125,-93.3077733283764 18.0312313287629,-93.2970431591145 18.0271808353273,-93.2909498898255 18.0229158436913,-93.283107201736 18.0059339769715,-93.2703010446575 18.0003680620365,-93.2463612545682 17.9959162371447,-93.2417040065346 17.9662376779265,-93.247438833935 17.9510751388067,-93.2647042335136 17.9629821024421,-93.2991178914775 17.9915131420179,-93.3158973675694 17.9977205163888,-93.3333964379952 17.9999140635832,-93.3442677126848 18.0037610080642,-93.3620423281909 18.0068267492551,-93.368605325975 18.0125914170603,-93.3770128836376 18.0251318982186,-93.3896527039091 18.0487685592217,-93.3864005323587 18.0621889334726,-93.3823294669313 18.0758849238502)))"
100000322552,"Marcellus - Rice Drilling B Gas Asset (Pennsylvania, United States)",,united states,39.9773,-80.2077,,GOGET,
100000322615,"Bone Spring - Novo Oil & Gas Northern Delaware Oil and Gas Asset (New Mexico, United States)",,united states,32.6936,-103.9998,,GOGET,
100000322416,"Wilmington - Warren E&P (Conventional) Oil and Gas Asset (California, United States)",,united states,33.782,-118.2554,,GOGET,
100000323132,"Murphy Creek - Marathon Oil Company Oil and Gas Asset (North Dakota, United States)",,united states,47.2944,-102.8289,,GOGET,
100000310820,"Daqing Oil and Gas Project (Heilongjiang, China)",,china,46.8365,124.7186,,GOGET,
100000323198,"Midway - Murex Petroleum Corporation Oil and Gas Asset (North Dakota, United States)",,united states,48.3892,-102.978,,GOGET,
100000322072,"Sawyer (Canyon) - Upp Operating, (Unconventional) Oil and Gas Asset (Texas, United States)",,united states,30.5002,-100.7288,,GOGET,
100000309399,"11634F/Cold Lake Oil Asset (Alberta, Canada)",,canada,53.778,-110.628,,GOGET,
100000322593,"Bone Spring (O) - Civitas Permian Operating Oil and Gas Asset (New Mexico, United States)",,united states,32.7903,-104.206,,GOGET,
100000321405,"Agua Dulce (Consolidated Frio) - Urban Oil & Gas Group Oil and Gas Asset (Texas, United States)",,united states,27.7349,-97.8636,,GOGET,
100000312757,Cabaca South East Oil Field (Angola),,,-6.1222,11.3608,,GOGET,
100000321607,"Eagleville (Eagle Ford-2) - Xto Energy Oil and Gas Asset (Texas, United States)",,united states,28.8379,-98.1386,,GOGET,
100000313134,"Mnazi Bay Gas Field (Mtwara, Tanzania)",,,-10.3127,40.4058,,GOGET,
100000322675,"Bs (Assoc) - Permian Resources Operating Oil and Gas Asset (New Mexico, United States)",,united states,32.6669,-104.2656,,GOGET,
100000319689,"Kelly - Ovv Gas Asset (British Columbia, Canada)",,canada,55.143,-120.17,,GOGET,
100000312602,"Alrar Gas Field (Illizi, Algeria)",,algeria,28.529,9.79,,GOGET,
