SheetRow,ProjectID,action,before_BH,before_BI,after_BH,after_BI
1766,P3366,MOVE,https://egyptoil-gas.com/wp-content/uploads/2019/01/EGAS-Annual-Report-2018-EN.pdf,,,https://egyptoil-gas.com/wp-content/uploads/2019/01/EGAS-Annual-Report-2018-EN.pdf
1855,P3620,MOVE,"https://www.mees.com/2026/7/10/oil-gas/israel-completes-offshore-pipeline-boosting-egypt-exports/35be0430-7c58-11f1-adc7-8523d8b59599,https://www.energy-sea.gov.il/home/news-publications/new-export-pipeline-to-egypt-approved-by-government/",,,"https://www.mees.com/2026/7/10/oil-gas/israel-completes-offshore-pipeline-boosting-egypt-exports/35be0430-7c58-11f1-adc7-8523d8b59599,https://www.energy-sea.gov.il/home/news-publications/new-export-pipeline-to-egypt-approved-by-government/"
1889,P3657,MOVE,https://www.mees.com/2026/7/10/oil-gas/israel-completes-offshore-pipeline-boosting-egypt-exports/35be0430-7c58-11f1-adc7-8523d8b59599,,,https://www.mees.com/2026/7/10/oil-gas/israel-completes-offshore-pipeline-boosting-egypt-exports/35be0430-7c58-11f1-adc7-8523d8b59599
1891,P3659,MOVE,https://www.youm7.com/story/2011/2/5/%D8%A8%D8%A7%D9%84%D8%B5%D9%88%D8%B1-%D8%A7%D9%84%D8%AA%D9%81%D8%A7%D8%B5%D9%8A%D9%84-%D8%A7%D9%84%D9%83%D8%A7%D9%85%D9%84%D8%A9-%D9%84%D9%85%D8%B3%D8%A7%D8%B1-%D8%AE%D8%B7%D9%89-%D8%A7%D9%84%D8%BA%D8%A7%D8%B2-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%89-%D9%88%D8%A7%D9%84%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84%D9%89-%D8%A8%D8%B3%D9%8A%D9%86%D8%A7%D8%A1-%D9%8A%D8%A8%D8%AF%D8%A3/346711,,,https://www.youm7.com/story/2011/2/5/%D8%A8%D8%A7%D9%84%D8%B5%D9%88%D8%B1-%D8%A7%D9%84%D8%AA%D9%81%D8%A7%D8%B5%D9%8A%D9%84-%D8%A7%D9%84%D9%83%D8%A7%D9%85%D9%84%D8%A9-%D9%84%D9%85%D8%B3%D8%A7%D8%B1-%D8%AE%D8%B7%D9%89-%D8%A7%D9%84%D8%BA%D8%A7%D8%B2-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%89-%D9%88%D8%A7%D9%84%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84%D9%89-%D8%A8%D8%B3%D9%8A%D9%86%D8%A7%D8%A1-%D9%8A%D8%A8%D8%AF%D8%A3/346711
1946,P3928,MOVE,https://www.argaam.com/ar/article/articledetail/id/1058075,,,https://www.argaam.com/ar/article/articledetail/id/1058075
1947,P3929,MOVE,"https://egyptoil-gas.com/wp-content/uploads/2019/01/EGAS-Annual-Report-2018-EN.pdf,  https://petro-news.com/95212/",,,"https://egyptoil-gas.com/wp-content/uploads/2019/01/EGAS-Annual-Report-2018-EN.pdf,  https://petro-news.com/95212/"
1949,P3931,MOVE,https://www.petroleum.gov.eg/ar-eg/media-center/news/news-pages/Pages/Mop_28122022_01.aspx,,,https://www.petroleum.gov.eg/ar-eg/media-center/news/news-pages/Pages/Mop_28122022_01.aspx
1950,P3932,MOVE,https://www.sfegypt.com/4657,,,https://www.sfegypt.com/4657
1957,P3939,MOVE,"https://egyptoil-gas.com/wp-content/uploads/2020/03/The-Western-Desert-Egypt%E2%80%99s-Giant-Petroleum-Reservoir-.pdf, https://www.miga.org/sites/default/files/archive/Documents/Apache_Egypt_2004_Egyptian_Oil_and_Gas_Activities_EIA.pdf",,,"https://egyptoil-gas.com/wp-content/uploads/2020/03/The-Western-Desert-Egypt%E2%80%99s-Giant-Petroleum-Reservoir-.pdf, https://www.miga.org/sites/default/files/archive/Documents/Apache_Egypt_2004_Egyptian_Oil_and_Gas_Activities_EIA.pdf"
2000,P3987,MOVE,https://www.facebook.com/LailatElfatah1969/posts/-%D9%85%D8%A7-%D8%AF%D8%A7%D8%B1-%D8%B4%D9%8A-%D9%86%D9%87%D8%A7%D8%A6%D9%8A-%D9%85%D9%86-%D8%A3%D8%B1%D8%B4%D9%8A%D9%81-%D8%A7%D9%84%D9%85%D8%B4%D8%B1%D9%88%D8%B9%D8%A7%D8%AA-%D9%85%D8%AD%D8%B7%D8%A9-%D8%A7%D9%84%D8%B3%D8%B1%D9%8A%D8%B1-%D8%A7%D9%84%D8%BA%D8%A7%D8%B2%D9%8A%D8%A9-%D9%84%D8%A5%D9%86%D8%AA%D8%A7%D8%AC-%D8%A7%D9%84%D8%B7%D8%A7%D9%82%D8%A9-%D8%A7%D9%84%D9%83%D9%87%D8%B1%D8%A8%D8%A7%D8%A6%D9%8A%D8%A9/1138478604945294/?locale=ku_TR,,,https://www.facebook.com/LailatElfatah1969/posts/-%D9%85%D8%A7-%D8%AF%D8%A7%D8%B1-%D8%B4%D9%8A-%D9%86%D9%87%D8%A7%D8%A6%D9%8A-%D9%85%D9%86-%D8%A3%D8%B1%D8%B4%D9%8A%D9%81-%D8%A7%D9%84%D9%85%D8%B4%D8%B1%D9%88%D8%B9%D8%A7%D8%AA-%D9%85%D8%AD%D8%B7%D8%A9-%D8%A7%D9%84%D8%B3%D8%B1%D9%8A%D8%B1-%D8%A7%D9%84%D8%BA%D8%A7%D8%B2%D9%8A%D8%A9-%D9%84%D8%A5%D9%86%D8%AA%D8%A7%D8%AC-%D8%A7%D9%84%D8%B7%D8%A7%D9%82%D8%A9-%D8%A7%D9%84%D9%83%D9%87%D8%B1%D8%A8%D8%A7%D8%A6%D9%8A%D8%A9/1138478604945294/?locale=ku_TR
2366,P4401,MOVE,https://iraqieconomists.net/en/wp-content/uploads/sites/3/2025/06/Shedding-Light-on-Recent-Oil-Gas-Pipeline-Projects-in-Iraq.-Ahmed-A-Al-Jibawi.pdf,,,https://iraqieconomists.net/en/wp-content/uploads/sites/3/2025/06/Shedding-Light-on-Recent-Oil-Gas-Pipeline-Projects-in-Iraq.-Ahmed-A-Al-Jibawi.pdf
3492,P6032,MOVE,https://www.youm7.com/story/2021/1/21/%D8%AA%D9%81%D8%A7%D8%B5%D9%8A%D9%84-%D9%85%D8%B4%D8%B1%D9%88%D8%B9%D8%A7%D8%AA-%D8%A7%D9%84%D8%B4%D8%A8%D9%83%D8%A9-%D8%A7%D9%84%D9%82%D9%88%D9%85%D9%8A%D8%A9-%D9%84%D9%84%D8%BA%D8%A7%D8%B2%D8%A7%D8%AA-%D8%A7%D9%84%D8%B7%D8%A8%D9%8A%D8%B9%D9%8A%D8%A9-%D8%A7%D9%84%D8%AC%D8%A7%D8%B1%D9%89-%D8%AA%D9%86%D9%81%D9%8A%D8%B0%D9%87%D8%A7/5167327,,,https://www.youm7.com/story/2021/1/21/%D8%AA%D9%81%D8%A7%D8%B5%D9%8A%D9%84-%D9%85%D8%B4%D8%B1%D9%88%D8%B9%D8%A7%D8%AA-%D8%A7%D9%84%D8%B4%D8%A8%D9%83%D8%A9-%D8%A7%D9%84%D9%82%D9%88%D9%85%D9%8A%D8%A9-%D9%84%D9%84%D8%BA%D8%A7%D8%B2%D8%A7%D8%AA-%D8%A7%D9%84%D8%B7%D8%A8%D9%8A%D8%B9%D9%8A%D8%A9-%D8%A7%D9%84%D8%AC%D8%A7%D8%B1%D9%89-%D8%AA%D9%86%D9%81%D9%8A%D8%B0%D9%87%D8%A7/5167327
3493,P6033,MOVE,https://petro-mag.org/ar/Magazine/v?id=2a56865d-48f7-4084-97f6-caa129199921,,,https://petro-mag.org/ar/Magazine/v?id=2a56865d-48f7-4084-97f6-caa129199921
